_RAJ2000;_DEJ2000;Vmag
001.291250;+45.229167;6.70
001.265833;-0.503056;6.29
001.333750;-5.707500;4.61
001.425000;+13.396111;5.51
001.566667;+58.436667;5.96
001.579167;-49.075000;5.70
001.610417;+64.196111;5.59
001.653333;+29.021389;6.13
001.708750;-23.107500;6.18
001.825833;-17.386389;6.19
001.933750;-2.548889;6.43
001.945000;-22.508889;5.94
002.014583;-33.529444;5.68
002.050417;-2.447778;6.07
002.097083;+29.090556;2.06
002.072500;-8.823889;5.99
002.170833;+36.626667;6.19
002.139167;-17.577500;6.06
002.217500;+25.462778;6.23
002.334167;+79.714722;6.01
002.294583;+59.149722;2.27
002.260000;+18.211944;5.53
002.260000;-54.001944;6.33
002.337500;-27.987778;5.42
002.352917;-45.747500;3.88
002.509583;+11.145556;5.51
002.580417;+46.072222;5.03
002.623750;+57.165556;6.74
002.578333;-5.248611;5.84
002.508750;-82.223889;5.28
002.678333;-12.580000;5.85
002.660833;-73.224444;6.64
002.816250;-15.468056;4.89
002.893333;-27.799722;5.41
002.933333;-35.133056;5.25
002.996250;+48.152500;6.16
003.041667;-17.938333;5.25
003.210000;+37.693333;6.73
003.309167;+15.183611;2.83
003.350000;+26.987222;6.30
003.378333;+41.035278;5.72
003.425417;-26.021944;5.94
003.434167;-26.284722;6.31
003.509583;+33.206111;6.25
003.650833;+20.206667;4.80
003.615000;-7.780556;5.12
003.330833;-84.994167;5.77
003.660000;-18.932778;4.44
003.733750;+22.284167;6.24
003.745000;+8.820833;5.79
003.727083;-9.569722;5.75
003.779167;+31.535833;6.45
003.794167;+27.283056;6.35
003.742500;-34.904444;6.17
004.058333;+76.950833;6.35
004.090000;+43.594722;6.15
004.037083;-31.446389;5.67
003.980000;-75.911389;6.49
004.142083;+8.240000;6.11
004.237917;+61.533333;5.74
004.177083;-20.210556;6.47
004.287917;+47.947500;5.89
004.272917;+38.681667;4.61
004.204167;-78.780556;6.77
004.429167;+51.433056;6.14
004.385833;-19.051111;6.45
004.448750;+1.688889;6.17
004.582083;+36.785278;4.52
004.571667;+11.205833;6.05
004.675417;+43.791111;6.11
004.659583;+31.517222;5.87
004.674167;-8.052778;6.46
004.677500;-43.235278;6.33
004.857083;-8.823889;3.56
004.923333;+40.729722;6.33
005.021667;+48.865278;6.52
005.017917;-64.874722;4.23
005.101667;+30.935833;5.90
005.189583;+32.911389;5.79
005.149583;+8.190278;5.37
005.227083;+10.976944;6.56
005.280417;+37.968611;5.18
005.162500;-69.625000;5.51
005.380000;-28.981667;5.18
005.442917;-20.057778;5.12
005.606250;+13.482500;6.23
005.369167;-77.426944;5.97
005.715833;-12.209444;6.39
005.802500;-31.036111;6.55
006.008333;+38.577222;7.39
006.065000;+52.020000;5.57
006.197917;+61.831111;5.40
006.123750;-2.219167;6.07
006.276667;+53.046944;5.74
006.350833;+1.939722;5.77
006.437917;-77.254167;2.80
006.570833;-42.306111;2.39
006.550833;-43.680000;3.94
006.655833;-0.049722;6.19
006.811250;-25.547222;5.98
007.012083;+17.893056;5.06
007.057083;+44.394444;5.17
006.982083;-33.007222;4.81
007.052917;+16.445000;6.06
007.083750;+10.189722;6.04
007.087917;-20.335000;6.43
007.110000;-39.915000;5.43
007.235833;+36.900000;6.26
007.179583;-50.532778;6.26
007.729167;+77.019444;6.21
007.582917;+59.977222;5.94
007.530417;+29.751667;5.23
007.466250;-14.864167;6.14
007.453750;-32.116667;6.57
007.510000;-3.957222;5.72 